NumOfVertices,NumOfEdge,Source,Mtx+Arr runtime(ms),List+Heap runtime(ms)
50,1225,39,38,57
50,1225,39,26,23
50,1225,39,27,39
50,1225,39,26,22
50,1225,39,20,22
50,1225,39,19,25
50,1225,39,18,14
50,1225,39,19,19
50,1225,39,20,17
50,1225,39,29,22
50,1225,39,30,31
50,1225,39,28,24
50,1225,39,32,25
50,1225,39,30,27
50,1225,39,26,23
50,1225,39,27,33
50,1225,39,27,24
50,1225,39,28,24
50,1225,39,29,24
50,1225,39,27,24
70,2415,59,54,55
70,2415,59,45,65
70,2415,59,50,44
70,2415,59,52,49
70,2415,59,52,49
70,2415,59,48,53
70,2415,59,55,61
70,2415,59,44,45
70,2415,59,57,66
70,2415,59,54,45
70,2415,59,53,54
70,2415,59,53,49
70,2415,59,47,42
70,2415,59,46,40
70,2415,59,44,41
70,2415,59,44,60
70,2415,59,48,44
70,2415,59,55,50
70,2415,59,44,43
70,2415,59,46,41
90,4005,19,65,73
90,4005,19,55,72
90,4005,19,57,67
90,4005,19,65,158
90,4005,19,74,102
90,4005,19,58,60
90,4005,19,54,66
90,4005,19,53,56
90,4005,19,54,55
90,4005,19,52,60
90,4005,19,51,58
90,4005,19,59,62
90,4005,19,55,71
90,4005,19,52,55
90,4005,19,53,52
90,4005,19,54,55
90,4005,19,57,55
90,4005,19,53,58
90,4005,19,91,86
90,4005,19,70,86
110,5995,19,95,142
110,5995,19,134,163
110,5995,19,98,166
110,5995,19,82,87
110,5995,19,77,73
110,5995,19,74,127
110,5995,19,99,137
110,5995,19,79,77
110,5995,19,93,101
110,5995,19,80,102
110,5995,19,112,168
110,5995,19,230,160
110,5995,19,82,83
110,5995,19,76,67
110,5995,19,77,74
110,5995,19,75,68
110,5995,19,75,67
110,5995,19,73,65
110,5995,19,75,154
110,5995,19,75,68
130,8385,29,111,113
130,8385,29,108,112
130,8385,29,134,181
130,8385,29,109,116
130,8385,29,108,134
130,8385,29,106,109
130,8385,29,107,107
130,8385,29,112,123
130,8385,29,107,116
130,8385,29,106,110
130,8385,29,109,127
130,8385,29,109,103
130,8385,29,106,124
130,8385,29,106,112
130,8385,29,104,113
130,8385,29,104,128
130,8385,29,106,111
130,8385,29,102,107
130,8385,29,113,123
130,8385,29,107,109
150,11175,139,191,196
150,11175,139,147,174
150,11175,139,142,172
150,11175,139,137,173
150,11175,139,146,232
150,11175,139,143,171
150,11175,139,141,193
150,11175,139,141,172
150,11175,139,141,215
150,11175,139,143,186
150,11175,139,149,193
150,11175,139,144,178
150,11175,139,140,229
150,11175,139,143,214
150,11175,139,145,214
150,11175,139,223,278
150,11175,139,141,175
150,11175,139,140,174
150,11175,139,141,186
150,11175,139,139,174
170,14365,159,168,243
170,14365,159,258,433
170,14365,159,172,297
170,14365,159,169,258
170,14365,159,174,334
170,14365,159,178,378
170,14365,159,173,300
170,14365,159,171,295
170,14365,159,171,267
170,14365,159,288,736
170,14365,159,175,286
170,14365,159,169,323
170,14365,159,168,285
170,14365,159,267,658
170,14365,159,7279,1330
170,14365,159,424,3961
170,14365,159,241,1127
170,14365,159,382,536
170,14365,159,239,437
170,14365,159,227,488
190,17955,169,3336,745
190,17955,169,433,7966
190,17955,169,564,1614
190,17955,169,355,3898
190,17955,169,471,852
190,17955,169,595,3796
190,17955,169,720,1606
190,17955,169,354,786
190,17955,172,286,1228
190,17955,172,331,707
190,17955,172,350,588
190,17955,172,323,612
190,17955,172,409,620
190,17955,172,309,575
190,17955,172,287,731
190,17955,172,321,947
190,17955,172,713,2426
190,17955,172,324,1257
190,17955,172,482,943
190,17955,172,324,598
210,21945,202,463,1226
210,21945,202,846,2138
210,21945,202,358,902
210,21945,202,306,1051
210,21945,202,1066,3112
210,21945,202,414,872
210,21945,202,516,1517
210,21945,202,356,2125
210,21945,202,278,676
210,21945,202,290,1026
210,21945,202,272,604
210,21945,202,267,1653
210,21945,202,335,1132
210,21945,202,406,1234
210,21945,202,327,1945
210,21945,202,341,817
210,21945,202,390,1317
210,21945,202,428,1280
210,21945,202,490,1525
210,21945,202,659,1549
230,26335,132,567,1231
230,26335,132,415,3827
230,26335,132,446,2120
230,26335,132,604,1677
230,26335,132,556,1155
230,26335,132,509,1848
230,26335,132,440,1156
230,26335,132,520,1641
230,26335,132,447,1775
230,26335,132,763,1689
230,26335,132,570,12254
230,26335,132,853,1816
230,26335,132,1008,5796
230,26335,132,533,1276
230,26335,132,1198,3240
230,26335,132,530,2363
230,26335,132,902,2508
230,26335,136,468,4012
230,26335,136,611,5671
230,26335,136,556,1720
250,31125,96,601,2340
250,31125,96,635,2776
250,31125,96,2027,50240
250,31125,96,703,14332
250,31125,96,620,2498
250,31125,96,564,2608
250,31125,96,785,2706
250,31125,96,499,3107
250,31125,96,665,2969
250,31125,96,1146,4823
250,31125,96,550,2063
250,31125,96,784,2589
250,31125,96,812,11050
250,31125,96,828,2132
250,31125,96,1972,8764
250,31125,96,880,2887
250,31125,96,891,8635
250,31125,96,1205,8228
250,31125,96,1010,2514
250,31125,96,1845,6522
270,36315,26,656,7449
270,36315,26,609,2506
270,36315,26,621,5971
270,36315,26,615,2426
270,36315,26,692,4219
270,36315,26,617,4052
270,36315,26,651,2724
270,36315,26,630,3023
270,36315,29,4748,38410
270,36315,29,712,5113
270,36315,29,1148,2954
270,36315,29,880,3032
270,36315,29,1154,5483
270,36315,29,615,2737
270,36315,29,789,3791
270,36315,29,677,7142
270,36315,29,542,1650
270,36315,29,689,2644
270,36315,29,543,2951
270,36315,29,482,5068
290,41905,159,904,4966
290,41905,159,924,2762
290,41905,159,793,2894
290,41905,159,504,1641
290,41905,159,517,3042
290,41905,159,511,1641
290,41905,159,642,4000
290,41905,159,838,2569
290,41905,159,499,1197
290,41905,159,881,4201
290,41905,159,820,3098
290,41905,159,818,6803
290,41905,159,614,4446
290,41905,159,1489,1609
290,41905,159,623,1766
290,41905,159,511,2351
290,41905,159,627,2302
290,41905,159,865,3457
290,41905,159,900,4737
290,41905,159,762,3741
310,47895,179,1140,5362
310,47895,179,1551,4995
310,47895,179,792,2208
310,47895,179,585,1497
310,47895,179,578,1531
310,47895,179,714,1612
310,47895,179,586,1618
310,47895,179,585,1456
310,47895,179,736,1626
310,47895,179,586,1460
310,47895,179,633,1580
310,47895,179,571,1391
310,47895,179,587,1610
310,47895,179,604,4046
310,47895,179,628,3755
310,47895,182,926,4921
310,47895,182,1023,2599
310,47895,182,683,3238
310,47895,182,584,2805
310,47895,182,588,1404
330,54285,32,648,1772
330,54285,32,649,1721
330,54285,32,647,1745
330,54285,32,650,1695
330,54285,32,641,1788
330,54285,32,650,1855
330,54285,32,985,6840
330,54285,32,650,2923
330,54285,32,655,1710
330,54285,32,671,1755
330,54285,32,648,1679
330,54285,32,666,1711
330,54285,32,654,1744
330,54285,32,645,1750
330,54285,32,650,1757
330,54285,32,642,1738
330,54285,32,648,1821
330,54285,32,647,2059
330,54285,32,676,1968
330,54285,32,1004,5716
350,61075,2,739,2067
350,61075,2,712,2016
350,61075,2,707,2032
350,61075,2,756,2975
350,61075,2,720,3544
350,61075,2,1553,2161
350,61075,2,832,2071
350,61075,2,746,2191
350,61075,2,711,2070
350,61075,2,709,2115
350,61075,2,738,2088
350,61075,2,1054,6234
350,61075,2,735,2164
350,61075,2,726,2054
350,61075,2,729,2623
350,61075,2,705,3904
350,61075,2,1209,2177
350,61075,2,751,2166
350,61075,2,729,2053
350,61075,2,736,1955
370,68265,92,825,2336
370,68265,92,832,6167
370,68265,92,1442,2611
370,68265,92,833,3272
370,68265,92,818,2437
370,68265,92,820,2493
370,68265,92,1289,2516
370,68265,92,819,2441
370,68265,92,817,2301
370,68265,92,879,3219
370,68265,92,838,3426
370,68265,96,1428,6037
370,68265,96,833,2430
370,68265,96,835,2280
370,68265,96,1608,8860
370,68265,96,867,2373
370,68265,96,1032,5242
370,68265,96,836,2401
370,68265,96,881,4576
370,68265,96,1268,8163
390,75855,306,1064,4635
390,75855,306,931,2844
390,75855,306,1585,3434
390,75855,306,938,2853
390,75855,306,936,4270
390,75855,306,921,2785
390,75855,306,911,2784
390,75855,306,1634,5773
390,75855,306,944,2766
390,75855,306,908,4916
390,75855,306,913,4239
390,75855,306,926,4835
390,75855,306,909,2899
390,75855,306,917,3870
390,75855,306,917,2882
390,75855,306,909,2882
390,75855,306,914,9177
390,75855,306,923,4930
390,75855,306,914,2928
390,75855,306,916,2864
410,83845,226,1046,4364
410,83845,226,1063,3392
